Numéro;Type de Ligne;Niveau;Texte;Quantité;Montant
1;1;0;Global;0,00;0,00 €
2;1;1;REPAS COMPLET;0,00;0,00 €
3;2;1;Total Net;68,00;0,00 €
4;2;1; dont Ventes;68,00;0,00 €
5;2;1;Total Annulations;2,00;0,00 €
6;2;1;Total Modification Note;20,00;0,00 €
7;0;0;;0,00;0,00 €
8;4;0;Net Global;68,00;0,00 €
9;4;0; dont Ventes;68,00;0,00 €
10;4;0;Annulations;2,00;0,00 €
11;4;0;Modification Note;20,00;0,00 €
12;0;0;;0,00;0,00 €
13;1;0;DIVERS 10%;0,00;0,00 €
14;1;1;DIVERS SOLIDES;0,00;0,00 €
15;2;1;Total Net;99,00;1178,80 €
16;2;1;Total Brut;100,00;1180,80 €
17;2;1; dont Ventes;99,00;1178,80 €
18;2;1; dont Offert Client;1,00;2,00 €
19;2;1;Total Annulations;1,00;7,00 €
20;2;1;Total Erreur de saisie;2,00;12,00 €
21;2;1;Total Avoir Ticket;1,00;7,00 €
22;2;1;Total Modification Note;15,00;218,00 €
23;0;0;;0,00;0,00 €
24;4;0;Net DIVERS 10%;99,00;1178,80 €
25;4;0;Brut DIVERS 10%;100,00;1180,80 €
26;4;0; dont Ventes;99,00;1178,80 €
27;4;0; dont Offert Client;1,00;2,00 €
28;4;0;Annulations;1,00;7,00 €
29;4;0;Erreur de saisie;2,00;12,00 €
30;4;0;Avoir Ticket;1,00;7,00 €
31;4;0;Modification Note;15,00;218,00 €
32;0;0;;0,00;0,00 €
33;3;1;Net DIVERS;99,00;1178,80 €
34;3;1;Brut DIVERS;100,00;1180,80 €
35;3;1; dont Ventes;99,00;1178,80 €
36;3;1; dont Offert Client;1,00;2,00 €
37;3;1;Annulations DIVERS;1,00;7,00 €
38;3;1;Erreur de saisie DIVERS;2,00;12,00 €
39;3;1;Avoir Ticket DIVERS;1,00;7,00 €
40;3;1;Modification Note DIVERS;15,00;218,00 €
41;0;0;;0,00;0,00 €
42;1;0;FIDELITE;0,00;0,00 €
43;1;1;15% BIENVENUE;0,00;0,00 €
44;2;1;Total Net;19,00;-135,47 €
45;2;1; dont Ventes;19,00;-135,47 €
46;2;1;Total Avoir Ticket;2,00;-20,60 €
47;0;0;;0,00;0,00 €
48;1;1;CHEQUE CADEAU;0,00;0,00 €
49;2;1;Total Net;30,00;-298,50 €
50;2;1; dont Ventes;30,00;-298,50 €
51;2;1;Total Avoir Ticket;2,00;-19,90 €
52;2;1;Total Modification Note;1,00;-9,95 €
53;0;0;;0,00;0,00 €
54;1;1;CHEQUE FID 10E;0,00;0,00 €
55;2;1;Total Net;106,00;-590,02 €
56;2;1; dont Ventes;106,00;-590,02 €
57;2;1;Total Avoir Ticket;1,00;-10,00 €
58;2;1;Total Modification Note;2,00;-10,00 €
59;0;0;;0,00;0,00 €
60;1;1;PLANCH. APERITIF FID;0,00;0,00 €
61;2;1;Total Net;8,00;-79,60 €
62;2;1; dont Ventes;8,00;-79,60 €
63;0;0;;0,00;0,00 €
64;4;0;Net FIDELITE;163,00;-1103,59 €
65;4;0; dont Ventes;163,00;-1103,59 €
66;4;0;Avoir Ticket;5,00;-50,50 €
67;4;0;Modification Note;3,00;-19,95 €
68;0;0;;0,00;0,00 €
69;1;0;HORAIRES;0,00;0,00 €
70;1;1;12H00;0,00;0,00 €
71;2;1;Total Net;1,00;0,00 €
72;2;1; dont Ventes;1,00;0,00 €
73;0;0;;0,00;0,00 €
74;1;1;14H15;0,00;0,00 €
75;2;1;Total Net;1,00;0,00 €
76;2;1; dont Ventes;1,00;0,00 €
77;0;0;;0,00;0,00 €
78;1;1;20H00;0,00;0,00 €
79;2;1;Total Net;1,00;0,00 €
80;2;1; dont Ventes;1,00;0,00 €
81;0;0;;0,00;0,00 €
82;1;1;20H30;0,00;0,00 €
83;2;1;Total Net;1,00;0,00 €
84;2;1; dont Ventes;1,00;0,00 €
85;2;1;Total Modification Note;1,00;0,00 €
86;0;0;;0,00;0,00 €
87;4;0;Net HORAIRES;4,00;0,00 €
88;4;0; dont Ventes;4,00;0,00 €
89;4;0;Modification Note;1,00;0,00 €
90;0;0;;0,00;0,00 €
91;1;0;BOISSONS CHAUDES;0,00;0,00 €
92;1;1;CAFE CREME;0,00;0,00 €
93;2;1;Total Net;3,00;8,40 €
94;2;1; dont Ventes;3,00;8,40 €
95;0;0;;0,00;0,00 €
96;1;1;CAPPUCCINO;0,00;0,00 €
97;2;1;Total Net;4,00;16,40 €
98;2;1; dont Ventes;4,00;16,40 €
99;2;1;Total Modification Note;1,00;4,10 €
100;0;0;;0,00;0,00 €
101;1;1;COLOMBIE;0,00;0,00 €
102;2;1;Total Net;1,00;2,80 €
103;2;1;Total Brut;2,00;5,60 €
104;2;1; dont Ventes;1,00;2,80 €
105;2;1; dont Offert Client;1,00;2,80 €
106;2;1;Total Modification Note;1,00;2,80 €
107;0;0;;0,00;0,00 €
108;1;1;DECA;0,00;0,00 €
109;2;1;Total Net;27,00;75,60 €
110;2;1; dont Ventes;27,00;75,60 €
111;2;1;Total Avoir Ticket;1,00;2,80 €
112;2;1;Total Modification Note;3,00;8,40 €
113;0;0;;0,00;0,00 €
114;1;1;ESPRESSO;0,00;0,00 €
115;2;1;Total Net;577,00;1326,87 €
116;2;1;Total Brut;584,00;1343,20 €
117;2;1; dont Ventes;576,00;1326,87 €
118;2;1; dont Remises;1,00;0,23 €
119;2;1; dont Offert Client;7,00;16,10 €
120;2;1;Total Annulations;10,00;23,00 €
121;2;1;Total Perte;4,00;9,20 €
122;2;1;Total Erreur de saisie;5,00;11,50 €
123;2;1;Total Avoir Ticket;11,00;25,30 €
124;2;1;Total Modification Note;94,00;216,20 €
125;0;0;;0,00;0,00 €
126;1;1;ESPRESSO DOUBLE;0,00;0,00 €
127;2;1;Total Net;4,00;15,20 €
128;2;1; dont Ventes;4,00;15,20 €
129;2;1;Total Modification Note;2,00;7,60 €
130;0;0;;0,00;0,00 €
131;1;1;FLORIO;0,00;0,00 €
132;2;1;Total Net;1,00;2,80 €
133;2;1; dont Ventes;1,00;2,80 €
134;0;0;;0,00;0,00 €
135;1;1;MOKA ETHIOPIE;0,00;0,00 €
136;2;1;Total Net;1,00;2,80 €
137;2;1; dont Ventes;1,00;2,80 €
138;0;0;;0,00;0,00 €
139;1;1;MOKA NOISETTE;0,00;0,00 €
140;2;1;Total Net;4,00;11,20 €
141;2;1; dont Ventes;4,00;11,20 €
142;0;0;;0,00;0,00 €
143;1;1;NOISETTE;0,00;0,00 €
144;2;1;Total Net;13,00;29,90 €
145;2;1; dont Ventes;13,00;29,90 €
146;2;1;Total Annulations;1,00;2,30 €
147;2;1;Total Modification Note;3,00;6,90 €
148;0;0;;0,00;0,00 €
