Numéro;Type de Ligne;Niveau;Texte;Quantité;Montant
1;1;0;"Global";0,00;0,00 €
2;1;1;"REPAS COMPLET";0,00;0,00 €
3;2;1;"Total Net";65,00;0,00 €
4;2;1;" dont Ventes";65,00;0,00 €
5;2;1;"Total Avoir Ticket";3,00;0,00 €
6;2;1;"Total Modification Note";15,00;0,00 €
7;0;0;"";0,00;0,00 €
8;4;0;"Net Global";65,00;0,00 €
9;4;0;" dont Ventes";65,00;0,00 €
10;4;0;"Avoir Ticket";3,00;0,00 €
11;4;0;"Modification Note";15,00;0,00 €
12;0;0;"";0,00;0,00 €
13;1;0;"DIVERS 10%";0,00;0,00 €
14;1;1;"DIVERS SOLIDES";0,00;0,00 €
15;2;1;"Total Net";16,00;173,25 €
16;2;1;" dont Ventes";16,00;173,25 €
17;2;1;"Total Modification Note";1,00;3,50 €
18;0;0;"";0,00;0,00 €
19;4;0;"Net DIVERS 10%";16,00;173,25 €
20;4;0;" dont Ventes";16,00;173,25 €
21;4;0;"Modification Note";1,00;3,50 €
22;0;0;"";0,00;0,00 €
23;3;1;"Net DIVERS";16,00;173,25 €
24;3;1;" dont Ventes";16,00;173,25 €
25;3;1;"Modification Note DIVERS";1,00;3,50 €
26;0;0;"";0,00;0,00 €
27;1;0;"FIDELITE";0,00;0,00 €
28;1;1;"15% BIENVENUE";0,00;0,00 €
29;2;1;"Total Net";34,00;-228,99 €
30;2;1;" dont Ventes";34,00;-228,99 €
31;0;0;"";0,00;0,00 €
32;1;1;"CHEQUE FID 10E";0,00;0,00 €
33;2;1;"Total Net";131,00;-710,02 €
34;2;1;" dont Ventes";131,00;-710,02 €
35;2;1;"Total Avoir Ticket";4,00;-30,00 €
36;0;0;"";0,00;0,00 €
37;1;1;"PLANCH. APERITIF FID";0,00;0,00 €
38;2;1;"Total Net";16,00;-159,20 €
39;2;1;" dont Ventes";16,00;-159,20 €
40;2;1;"Total Modification Note";1,00;-9,95 €
41;0;0;"";0,00;0,00 €
42;4;0;"Net FIDELITE";181,00;-1098,21 €
43;4;0;" dont Ventes";181,00;-1098,21 €
44;4;0;"Avoir Ticket";4,00;-30,00 €
45;4;0;"Modification Note";1,00;-9,95 €
46;0;0;"";0,00;0,00 €
47;1;0;"HORAIRES";0,00;0,00 €
48;1;1;"12H45";0,00;0,00 €
49;2;1;"Total Net";1,00;0,00 €
50;2;1;" dont Ventes";1,00;0,00 €
51;0;0;"";0,00;0,00 €
52;1;1;"13H00";0,00;0,00 €
53;2;1;"Total Net";1,00;0,00 €
54;2;1;" dont Ventes";1,00;0,00 €
55;2;1;"Total Modification Note";1,00;0,00 €
56;0;0;"";0,00;0,00 €
57;1;1;"20H45";0,00;0,00 €
58;2;1;"Total Net";1,00;0,00 €
59;2;1;" dont Ventes";1,00;0,00 €
60;0;0;"";0,00;0,00 €
61;1;1;"22H00";0,00;0,00 €
62;2;1;"Total Net";2,00;0,00 €
63;2;1;" dont Ventes";2,00;0,00 €
64;0;0;"";0,00;0,00 €
65;1;1;"22H15";0,00;0,00 €
66;2;1;"Total Net";2,00;0,00 €
67;2;1;" dont Ventes";2,00;0,00 €
68;0;0;"";0,00;0,00 €
69;1;1;"22H30";0,00;0,00 €
70;2;1;"Total Net";1,00;0,00 €
71;2;1;" dont Ventes";1,00;0,00 €
72;0;0;"";0,00;0,00 €
73;4;0;"Net HORAIRES";8,00;0,00 €
74;4;0;" dont Ventes";8,00;0,00 €
75;4;0;"Modification Note";1,00;0,00 €
76;0;0;"";0,00;0,00 €
77;1;0;"BOISSONS CHAUDES";0,00;0,00 €
78;1;1;"CAFE CREME";0,00;0,00 €
79;2;1;"Total Net";4,00;11,20 €
80;2;1;" dont Ventes";4,00;11,20 €
81;0;0;"";0,00;0,00 €
82;1;1;"CAPPUCCINO";0,00;0,00 €
83;2;1;"Total Net";6,00;24,60 €
84;2;1;" dont Ventes";6,00;24,60 €
85;0;0;"";0,00;0,00 €
86;1;1;"COLOMBIE";0,00;0,00 €
87;2;1;"Total Net";1,00;2,80 €
88;2;1;" dont Ventes";1,00;2,80 €
89;0;0;"";0,00;0,00 €
90;1;1;"DECA";0,00;0,00 €
91;2;1;"Total Net";41,00;114,80 €
92;2;1;"Total Brut";42,00;117,60 €
93;2;1;" dont Ventes";41,00;114,80 €
94;2;1;" dont Offert Client";1,00;2,80 €
95;2;1;"Total Erreur de saisie";1,00;2,80 €
96;2;1;"Total Avoir Ticket";2,00;5,60 €
97;2;1;"Total Modification Note";5,00;14,00 €
98;0;0;"";0,00;0,00 €
99;1;1;"DOUBLE CREME";0,00;0,00 €
100;2;1;"Total Net";2,00;6,30 €
101;2;1;" dont Ventes";2,00;6,30 €
102;0;0;"";0,00;0,00 €
103;1;1;"ESPRESSO";0,00;0,00 €
104;2;1;"Total Net";684,00;1569,52 €
105;2;1;"Total Brut";690,00;1587,00 €
106;2;1;" dont Ventes";671,00;1569,52 €
107;2;1;" dont Remises";13,00;3,68 €
108;2;1;" dont Offert Client";6,00;13,80 €
109;2;1;"Total Annulations";8,00;18,40 €
110;2;1;"Total Erreur de saisie";8,00;18,40 €
111;2;1;"Total Avoir Ticket";22,00;50,60 €
112;2;1;"Total Modification Note";79,00;181,70 €
113;0;0;"";0,00;0,00 €
114;1;1;"ESPRESSO DOUBLE";0,00;0,00 €
115;2;1;"Total Net";10,00;38,00 €
116;2;1;" dont Ventes";10,00;38,00 €
117;2;1;"Total Avoir Ticket";1,00;3,80 €
118;2;1;"Total Modification Note";1,00;3,80 €
119;0;0;"";0,00;0,00 €
120;1;1;"INFUSION";0,00;0,00 €
121;2;1;"Total Net";4,00;10,80 €
122;2;1;" dont Ventes";4,00;10,80 €
123;0;0;"";0,00;0,00 €
124;1;1;"MOKA NOISETTE";0,00;0,00 €
125;2;1;"Total Net";1,00;2,52 €
126;2;1;"Total Brut";1,00;2,80 €
127;2;1;" dont Ventes";0,00;2,52 €
128;2;1;" dont Remises";1,00;0,28 €
129;0;0;"";0,00;0,00 €
130;1;1;"NOISETTE";0,00;0,00 €
131;2;1;"Total Net";10,00;23,00 €
132;2;1;" dont Ventes";10,00;23,00 €
133;2;1;"Total Modification Note";3,00;6,90 €
134;0;0;"";0,00;0,00 €
135;1;1;"THE";0,00;0,00 €
136;2;1;"Total Net";11,00;29,70 €
137;2;1;" dont Ventes";11,00;29,70 €
138;2;1;"Total Modification Note";4,00;10,80 €
139;0;0;"";0,00;0,00 €
140;4;0;"Net BOISSONS CHAUDES";774,00;1833,24 €
141;4;0;"Brut BOISSONS CHAUDES";781,00;1853,80 €
142;4;0;" dont Ventes";760,00;1833,24 €
143;4;0;" dont Remises";14,00;3,96 €
144;4;0;" dont Offert Client";7,00;16,60 €
145;4;0;"Annulations";8,00;18,40 €
