Numéro;Type de Ligne;Niveau;Texte;Quantité;Montant
1;1;0;"Global";0,00;0,00 €
2;1;1;"REPAS COMPLET";0,00;0,00 €
3;2;1;"Total Net";98,00;0,00 €
4;2;1;" dont Ventes";98,00;0,00 €
5;2;1;"Total Erreur de saisie";1,00;0,00 €
6;2;1;"Total Avoir Ticket";2,00;0,00 €
7;2;1;"Total Modification Note";38,00;0,00 €
8;0;0;"";0,00;0,00 €
9;4;0;"Net Global";98,00;0,00 €
10;4;0;" dont Ventes";98,00;0,00 €
11;4;0;"Erreur de saisie";1,00;0,00 €
12;4;0;"Avoir Ticket";2,00;0,00 €
13;4;0;"Modification Note";38,00;0,00 €
14;0;0;"";0,00;0,00 €
15;1;0;"DIVERS 10%";0,00;0,00 €
16;1;1;"DIVERS SOLIDES";0,00;0,00 €
17;2;1;"Total Net";12,00;86,20 €
18;2;1;"Total Brut";14,00;89,20 €
19;2;1;" dont Ventes";12,00;86,20 €
20;2;1;" dont Offert Client";1,00;1,00 €
21;2;1;" dont Offert Direction";1,00;2,00 €
22;2;1;"Total Annulations";1,00;1,25 €
23;2;1;"Total Erreur de saisie";1,00;5,00 €
24;2;1;"Total Avoir Ticket";1,00;1,25 €
25;2;1;"Total Modification Note";2,00;5,00 €
26;0;0;"";0,00;0,00 €
27;4;0;"Net DIVERS 10%";12,00;86,20 €
28;4;0;"Brut DIVERS 10%";14,00;89,20 €
29;4;0;" dont Ventes";12,00;86,20 €
30;4;0;" dont Offert Client";1,00;1,00 €
31;4;0;" dont Offert Direction";1,00;2,00 €
32;4;0;"Annulations";1,00;1,25 €
33;4;0;"Erreur de saisie";1,00;5,00 €
34;4;0;"Avoir Ticket";1,00;1,25 €
35;4;0;"Modification Note";2,00;5,00 €
36;0;0;"";0,00;0,00 €
37;3;1;"Net DIVERS";12,00;86,20 €
38;3;1;"Brut DIVERS";14,00;89,20 €
39;3;1;" dont Ventes";12,00;86,20 €
40;3;1;" dont Offert Client";1,00;1,00 €
41;3;1;" dont Offert Direction";1,00;2,00 €
42;3;1;"Annulations DIVERS";1,00;1,25 €
43;3;1;"Erreur de saisie DIVERS";1,00;5,00 €
44;3;1;"Avoir Ticket DIVERS";1,00;1,25 €
45;3;1;"Modification Note DIVERS";2,00;5,00 €
46;0;0;"";0,00;0,00 €
47;1;0;"FIDELITE";0,00;0,00 €
48;1;1;"15% BIENVENUE";0,00;0,00 €
49;2;1;"Total Net";23,00;-169,70 €
50;2;1;" dont Ventes";23,00;-169,70 €
51;0;0;"";0,00;0,00 €
52;1;1;"CHEQUE FID 10E";0,00;0,00 €
53;2;1;"Total Net";94,00;-540,00 €
54;2;1;" dont Ventes";94,00;-540,00 €
55;2;1;"Total Modification Note";4,00;-20,00 €
56;0;0;"";0,00;0,00 €
57;1;1;"PLANCH. APERITIF FID";0,00;0,00 €
58;2;1;"Total Net";8,00;-79,60 €
59;2;1;" dont Ventes";8,00;-79,60 €
60;0;0;"";0,00;0,00 €
61;4;0;"Net FIDELITE";125,00;-789,30 €
62;4;0;" dont Ventes";125,00;-789,30 €
63;4;0;"Modification Note";4,00;-20,00 €
64;0;0;"";0,00;0,00 €
65;1;0;"HORAIRES";0,00;0,00 €
66;1;1;"12H30";0,00;0,00 €
67;2;1;"Total Net";1,00;0,00 €
68;2;1;" dont Ventes";1,00;0,00 €
69;0;0;"";0,00;0,00 €
70;1;1;"19H30";0,00;0,00 €
71;2;1;"Total Net";1,00;0,00 €
72;2;1;" dont Ventes";1,00;0,00 €
73;2;1;"Total Modification Note";1,00;0,00 €
74;0;0;"";0,00;0,00 €
75;1;1;"22H30";0,00;0,00 €
76;2;1;"Total Net";2,00;0,00 €
77;2;1;" dont Ventes";2,00;0,00 €
78;0;0;"";0,00;0,00 €
79;4;0;"Net HORAIRES";4,00;0,00 €
80;4;0;" dont Ventes";4,00;0,00 €
81;4;0;"Modification Note";1,00;0,00 €
82;0;0;"";0,00;0,00 €
83;1;0;"BOISSONS CHAUDES";0,00;0,00 €
84;1;1;"CAFE CREME";0,00;0,00 €
85;2;1;"Total Net";4,00;11,20 €
86;2;1;" dont Ventes";4,00;11,20 €
87;2;1;"Total Modification Note";2,00;5,60 €
88;0;0;"";0,00;0,00 €
89;1;1;"CAPPUCCINO";0,00;0,00 €
90;2;1;"Total Net";7,00;28,70 €
91;2;1;" dont Ventes";7,00;28,70 €
92;2;1;"Total Modification Note";3,00;12,30 €
93;0;0;"";0,00;0,00 €
94;1;1;"COLOMBIE";0,00;0,00 €
95;2;1;"Total Net";1,00;2,80 €
96;2;1;" dont Ventes";1,00;2,80 €
97;0;0;"";0,00;0,00 €
98;1;1;"DECA";0,00;0,00 €
99;2;1;"Total Net";25,00;70,00 €
100;2;1;" dont Ventes";25,00;70,00 €
101;2;1;"Total Avoir Ticket";1,00;2,80 €
102;2;1;"Total Modification Note";4,00;11,20 €
103;0;0;"";0,00;0,00 €
104;1;1;"DOUBLE CREME";0,00;0,00 €
105;2;1;"Total Net";2,00;6,30 €
106;2;1;" dont Ventes";2,00;6,30 €
107;0;0;"";0,00;0,00 €
108;1;1;"ESPRESSO";0,00;0,00 €
109;2;1;"Total Net";494,00;1133,68 €
110;2;1;"Total Brut";501,00;1152,30 €
111;2;1;" dont Ventes";485,00;1133,68 €
112;2;1;" dont Remises";9,00;2,52 €
113;2;1;" dont Offert Client";7,00;16,10 €
114;2;1;"Total Annulations";14,00;32,20 €
115;2;1;"Total Erreur de saisie";5,00;11,50 €
116;2;1;"Total Avoir Ticket";16,00;36,80 €
117;2;1;"Total Modification Note";102,00;234,60 €
118;0;0;"";0,00;0,00 €
119;1;1;"ESPRESSO DOUBLE";0,00;0,00 €
120;2;1;"Total Net";5,00;19,00 €
121;2;1;" dont Ventes";5,00;19,00 €
122;2;1;"Total Modification Note";1,00;3,80 €
123;0;0;"";0,00;0,00 €
124;1;1;"INFUSION";0,00;0,00 €
125;2;1;"Total Net";5,00;13,50 €
126;2;1;" dont Ventes";5,00;13,50 €
127;0;0;"";0,00;0,00 €
128;1;1;"MOKA ETHIOPIE";0,00;0,00 €
129;2;1;"Total Net";1,00;2,80 €
130;2;1;" dont Ventes";1,00;2,80 €
131;2;1;"Total Erreur de saisie";1,00;2,80 €
132;0;0;"";0,00;0,00 €
133;1;1;"MOKA NOISETTE";0,00;0,00 €
134;2;1;"Total Net";4,00;11,20 €
135;2;1;" dont Ventes";4,00;11,20 €
136;0;0;"";0,00;0,00 €
137;1;1;"NOISETTE";0,00;0,00 €
138;2;1;"Total Net";9,00;20,70 €
139;2;1;" dont Ventes";9,00;20,70 €
140;2;1;"Total Modification Note";2,00;4,60 €
141;0;0;"";0,00;0,00 €
142;1;1;"PERLE NOIRE";0,00;0,00 €
