Numéro;Type de Ligne;Niveau;Texte;Quantité;Montant
1;1;0;"CARPACCIOS ENTREES";0,00;0,00 €
2;1;1;"ENT CARPA BASILIC";0,00;0,00 €
3;2;1;"Total Net";12,00;0,00 €
4;2;1;" dont Menus";12,00;0,00 €
5;2;1;"Total Modification Note";9,00;0,00 €
6;0;0;"";0,00;0,00 €
7;4;0;"Net CARPACCIOS ENTREES";12,00;0,00 €
8;4;0;" dont Menus";12,00;0,00 €
9;4;0;"Modification Note";9,00;0,00 €
10;0;0;"";0,00;0,00 €
11;1;0;"CARPACCIOS PLATS";0,00;0,00 €
12;1;1;"MI-CUIT BOEUF TATAKI";0,00;0,00 €
13;2;1;"Total Net";59,00;1127,94 €
14;2;1;"Total Brut";59,00;1129,85 €
15;2;1;" dont Ventes";58,00;1127,94 €
16;2;1;" dont Remises";1,00;1,91 €
17;2;1;"Total Perte";1,00;19,15 €
18;2;1;"Total Avoir Ticket";2,00;38,30 €
19;2;1;"Total Modification Note";7,00;134,05 €
20;0;0;"";0,00;0,00 €
21;1;1;"PLAT CARPA BASILIC";0,00;0,00 €
22;2;1;"Total Net";19,00;302,10 €
23;2;1;" dont Ventes";19,00;302,10 €
24;2;1;"Total Annulations";2,00;31,80 €
25;2;1;"Total Modification Note";3,00;47,70 €
26;0;0;"";0,00;0,00 €
27;1;1;"PLAT CARPA CHEVRE";0,00;0,00 €
28;2;1;"Total Net";25,00;442,13 €
29;2;1;"Total Brut";25,00;447,50 €
30;2;1;" dont Ventes";24,00;442,13 €
31;2;1;" dont Remises";1,00;5,37 €
32;2;1;"Total Avoir Ticket";1,00;17,90 €
33;2;1;"Total Modification Note";4,00;71,60 €
34;0;0;"";0,00;0,00 €
35;1;1;"SUPP GRANA PADANO";0,00;0,00 €
36;2;1;"Total Net";8,00;8,00 €
37;2;1;" dont Ventes";8,00;8,00 €
38;0;0;"";0,00;0,00 €
39;4;0;"Net CARPACCIOS PLATS";111,00;1880,17 €
40;4;0;"Brut CARPACCIOS PLATS";111,00;1887,45 €
41;4;0;" dont Ventes";109,00;1880,17 €
42;4;0;" dont Remises";2,00;7,28 €
43;4;0;"Annulations";2,00;31,80 €
44;4;0;"Perte";1,00;19,15 €
45;4;0;"Avoir Ticket";3,00;56,20 €
46;4;0;"Modification Note";14,00;253,35 €
47;0;0;"";0,00;0,00 €
48;1;0;"DESSERTS";0,00;0,00 €
49;1;1;"CAFE DOUCEUR M";0,00;0,00 €
50;2;1;"Total Net";58,00;0,00 €
51;2;1;"Total Brut";68,00;0,00 €
52;2;1;" dont Ventes";1,00;0,00 €
53;2;1;" dont Menus";57,00;0,00 €
54;2;1;" dont Offert Client";10,00;0,00 €
55;2;1;"Total Perte";2,00;0,00 €
56;2;1;"Total Avoir Ticket";1,00;0,00 €
57;2;1;"Total Modification Note";35,00;0,00 €
58;0;0;"";0,00;0,00 €
59;1;1;"CAFE PLAISIR";0,00;0,00 €
60;2;1;"Total Net";12,00;55,93 €
61;2;1;"Total Brut";12,00;56,40 €
62;2;1;" dont Ventes";11,00;55,93 €
63;2;1;" dont Remises";1,00;0,47 €
64;0;0;"";0,00;0,00 €
65;1;1;"CARAMEL BEURRE SALE";0,00;0,00 €
66;2;1;"Total Modification Note";9,00;0,00 €
67;0;0;"";0,00;0,00 €
68;1;1;"CHANTILLY.";0,00;0,00 €
69;2;1;"Total Annulations";2,00;0,00 €
70;2;1;"Total Erreur de saisie";1,00;0,00 €
71;2;1;"Total Avoir Ticket";4,00;0,00 €
72;2;1;"Total Modification Note";18,00;0,00 €
73;0;0;"";0,00;0,00 €
74;1;1;"COEUR COULANT CHOCO M";0,00;0,00 €
75;2;1;"Total Net";1,00;2,90 €
76;2;1;" dont Menus";1,00;2,90 €
77;0;0;"";0,00;0,00 €
78;1;1;"CREME BRULEE M";0,00;0,00 €
79;2;1;"Total Net";4,00;11,60 €
80;2;1;" dont Menus";4,00;11,60 €
81;2;1;"Total Modification Note";1,00;2,90 €
82;0;0;"";0,00;0,00 €
83;1;1;"DESSERT DU JOUR";0,00;0,00 €
84;2;1;"Total Net";1,00;0,00 €
85;2;1;" dont Menus";1,00;0,00 €
86;2;1;"Total Avoir Ticket";1,00;0,00 €
87;0;0;"";0,00;0,00 €
88;1;1;"DUO VERRINES DESSERTS";0,00;0,00 €
89;2;1;"Total Net";49,00;0,00 €
90;2;1;" dont Menus";49,00;0,00 €
91;2;1;"Total Annulations";1,00;0,00 €
92;2;1;"Total Avoir Ticket";3,00;0,00 €
93;2;1;"Total Modification Note";5,00;0,00 €
94;0;0;"";0,00;0,00 €
95;1;1;"ENFANT VER. TIRAMISU";0,00;0,00 €
96;2;1;"Total Net";27,00;0,00 €
97;2;1;" dont Menus";27,00;0,00 €
98;2;1;"Total Avoir Ticket";1,00;0,00 €
99;2;1;"Total Modification Note";4,00;0,00 €
100;0;0;"";0,00;0,00 €
101;1;1;"GAUFRE BRUXELLES M";0,00;0,00 €
102;2;1;"Total Net";1,00;2,90 €
103;2;1;" dont Menus";1,00;2,90 €
104;0;0;"";0,00;0,00 €
105;1;1;"GOURMAND CAFE";0,00;0,00 €
106;2;1;"Total Net";174,00;1383,75 €
107;2;1;"Total Brut";175,00;1402,20 €
108;2;1;" dont Ventes";162,00;1383,75 €
109;2;1;" dont Menus";4,00;0,00 €
110;2;1;" dont Remises";8,00;10,25 €
111;2;1;" dont Offert Direction";1,00;8,20 €
112;2;1;"Total Annulations";3,00;24,60 €
113;2;1;"Total Erreur de saisie";7,00;57,40 €
114;2;1;"Total Avoir Ticket";7,00;50,43 €
115;2;1;"Total Modification Note";24,00;180,40 €
116;0;0;"";0,00;0,00 €
117;1;1;"GOURMAND CAFE M";0,00;0,00 €
118;2;1;"Total Net";5,00;14,50 €
119;2;1;" dont Menus";5,00;14,50 €
120;2;1;"Total Modification Note";1,00;2,90 €
121;0;0;"";0,00;0,00 €
122;1;1;"GOURMAND DECA";0,00;0,00 €
123;2;1;"Total Net";7,00;57,40 €
124;2;1;" dont Ventes";7,00;57,40 €
125;2;1;"Total Erreur de saisie";1,00;0,00 €
126;2;1;"Total Modification Note";1,00;8,20 €
127;0;0;"";0,00;0,00 €
128;1;1;"GOURMAND THE";0,00;0,00 €
129;2;1;"Total Net";9,00;73,80 €
130;2;1;" dont Ventes";9,00;73,80 €
131;2;1;"Total Erreur de saisie";1,00;8,20 €
132;2;1;"Total Modification Note";1,00;8,20 €
133;0;0;"";0,00;0,00 €
134;1;1;"NUTELLA";0,00;0,00 €
135;2;1;"Total Avoir Ticket";2,00;0,00 €
136;2;1;"Total Modification Note";11,00;0,00 €
137;0;0;"";0,00;0,00 €
138;1;1;"P TIT POMME";0,00;0,00 €
139;2;1;"Total Net";31,00;0,00 €
140;2;1;" dont Menus";31,00;0,00 €
141;2;1;"Total Avoir Ticket";5,00;0,00 €
142;2;1;"Total Modification Note";5,00;0,00 €
143;0;0;"";0,00;0,00 €
144;1;1;"PANNA COTTA";0,00;0,00 €
145;2;1;"Total Net";61,00;357,54 €
146;2;1;"Total Brut";61,00;359,90 €
147;2;1;" dont Ventes";57,00;357,54 €
148;2;1;" dont Remises";4,00;2,36 €
149;2;1;"Total Annulations";2,00;11,80 €
150;2;1;"Total Avoir Ticket";2,00;11,80 €
151;2;1;"Total Modification Note";12,00;70,80 €
152;0;0;"";0,00;0,00 €
153;1;1;"PANNA COTTA CARTE M";0,00;0,00 €
154;2;1;"Total Net";3,00;5,22 €
155;2;1;"Total Brut";3,00;5,80 €
156;2;1;" dont Menus";2,00;5,22 €
157;2;1;" dont Remises";1,00;0,58 €
158;2;1;"Total Modification Note";2,00;5,80 €
159;0;0;"";0,00;0,00 €
160;1;1;"POT PANNA COTTA M";0,00;0,00 €
161;2;1;"Total Net";23,00;0,00 €
162;2;1;" dont Menus";23,00;0,00 €
163;2;1;"Total Annulations";1,00;0,00 €
164;2;1;"Total Erreur de saisie";2,00;0,00 €
165;2;1;"Total Avoir Ticket";1,00;0,00 €
166;2;1;"Total Modification Note";6,00;0,00 €
167;0;0;"";0,00;0,00 €
168;1;1;"PROFITEROLES M";0,00;0,00 €
169;2;1;"Total Net";5,00;14,50 €
170;2;1;" dont Menus";5,00;14,50 €
171;2;1;"Total Avoir Ticket";1,00;2,90 €
172;0;0;"";0,00;0,00 €
173;1;1;"SUG DESSERT";0,00;0,00 €
174;2;1;"Total Net";2,00;10,90 €
175;2;1;" dont Ventes";2,00;10,90 €
176;2;1;"Total Modification Note";1,00;7,40 €
177;0;0;"";0,00;0,00 €
178;1;1;"TARTELETTE NOISETTES NUTELLA M";0,00;0,00 €
179;2;1;"Total Net";1,00;2,90 €
180;2;1;" dont Menus";1,00;2,90 €
181;0;0;"";0,00;0,00 €
182;1;1;"TIRAMISU M";0,00;0,00 €
183;2;1;"Total Net";4,00;8,41 €
184;2;1;"Total Brut";4,00;8,70 €
185;2;1;" dont Menus";3,00;8,41 €
186;2;1;" dont Remises";1,00;0,29 €
187;2;1;"Total Modification Note";1,00;2,90 €
188;0;0;"";0,00;0,00 €
189;1;1;"VER. PANA COTTA";0,00;0,00 €
190;2;1;"Total Net";49,00;0,00 €
191;2;1;" dont Ventes";49,00;0,00 €
192;2;1;"Total Annulations";1,00;0,00 €
193;2;1;"Total Avoir Ticket";3,00;0,00 €
194;2;1;"Total Modification Note";5,00;0,00 €
195;0;0;"";0,00;0,00 €
196;1;1;"VER. TIRAMISU";0,00;0,00 €
197;2;1;"Total Net";49,00;0,00 €
198;2;1;" dont Ventes";49,00;0,00 €
199;2;1;"Total Annulations";1,00;0,00 €
200;2;1;"Total Avoir Ticket";3,00;0,00 €
201;2;1;"Total Modification Note";5,00;0,00 €
202;0;0;"";0,00;0,00 €
203;1;1;"YAOURT A BOIRE";0,00;0,00 €
204;2;1;"Total Net";38,00;0,00 €
205;2;1;"Total Brut";39,00;0,00 €
206;2;1;" dont Menus";38,00;0,00 €
207;2;1;" dont Offert Direction";1,00;0,00 €
208;2;1;"Total Modification Note";5,00;0,00 €
209;0;0;"";0,00;0,00 €
210;4;0;"Net DESSERTS";614,00;2002,25 €
211;4;0;"Brut DESSERTS";626,00;2024,40 €
212;4;0;" dont Ventes";347,00;1939,32 €
213;4;0;" dont Menus";252,00;62,93 €
214;4;0;" dont Remises";15,00;13,95 €
215;4;0;" dont Offert Client";10,00;0,00 €
216;4;0;" dont Offert Direction";2,00;8,20 €
217;4;0;"Annulations";11,00;36,40 €
218;4;0;"Perte";2,00;0,00 €
219;4;0;"Erreur de saisie";12,00;65,60 €
220;4;0;"Avoir Ticket";34,00;65,13 €
221;4;0;"Modification Note";152,00;289,50 €
222;0;0;"";0,00;0,00 €
223;1;0;"DESSERTS PROMO";0,00;0,00 €
224;1;1;"1/2 ST MARCELLIN";0,00;0,00 €
225;2;1;"Total Net";8,00;36,96 €
226;2;1;"Total Brut";8,00;38,40 €
227;2;1;" dont Ventes";5,00;36,96 €
228;2;1;" dont Remises";3,00;1,44 €
229;2;1;"Total Modification Note";3,00;14,40 €
230;0;0;"";0,00;0,00 €
231;1;1;"COEUR COULANT CHOCO";0,00;0,00 €
232;2;1;"Total Net";56,00;382,54 €
233;2;1;"Total Brut";58,00;400,40 €
234;2;1;" dont Ventes";50,00;382,54 €
235;2;1;" dont Menus";2,00;0,00 €
236;2;1;" dont Remises";4,00;3,56 €
237;2;1;" dont Offert Client";1,00;7,15 €
238;2;1;" dont Offert Direction";1,00;7,15 €
239;2;1;"Total Modification Note";10,00;57,20 €
240;0;0;"";0,00;0,00 €
241;1;1;"CPE 1 BOULE";0,00;0,00 €
242;2;1;"Total Net";121,00;71,30 €
243;2;1;" dont Ventes";23,00;71,30 €
244;2;1;" dont Menus";98,00;0,00 €
245;2;1;"Total Annulations";4,00;9,30 €
246;2;1;"Total Erreur de saisie";1,00;3,10 €
247;2;1;"Total Avoir Ticket";5,00;0,00 €
248;2;1;"Total Modification Note";17,00;21,70 €
249;0;0;"";0,00;0,00 €
250;1;1;"CPE 2 BOULES";0,00;0,00 €
251;2;1;"Total Net";109,00;370,22 €
252;2;1;"Total Brut";109,00;374,40 €
253;2;1;" dont Ventes";69,00;370,22 €
254;2;1;" dont Menus";37,00;0,00 €
255;2;1;" dont Remises";3,00;4,18 €
256;2;1;"Total Erreur de saisie";1,00;5,20 €
257;2;1;"Total Avoir Ticket";1,00;0,00 €
258;2;1;"Total Modification Note";20,00;41,60 €
259;0;0;"";0,00;0,00 €
260;1;1;"CPE CAFE LIEGEOIS";0,00;0,00 €
261;2;1;"Total Net";28,00;207,20 €
262;2;1;" dont Ventes";28,00;207,20 €
263;2;1;"Total Erreur de saisie";1,00;7,40 €
264;2;1;"Total Avoir Ticket";1,00;7,40 €
265;2;1;"Total Modification Note";4,00;29,60 €
266;0;0;"";0,00;0,00 €
267;1;1;"CPE CARAMEL LIEGEOIS";0,00;0,00 €
268;2;1;"Total Net";14,00;103,60 €
269;2;1;" dont Ventes";14,00;103,60 €
270;2;1;"Total Modification Note";3,00;22,20 €
271;0;0;"";0,00;0,00 €
272;1;1;"CPE CHOCO LIEGEOIS";0,00;0,00 €
273;2;1;"Total Net";45,00;332,26 €
274;2;1;"Total Brut";45,00;333,00 €
275;2;1;" dont Ventes";44,00;332,26 €
276;2;1;" dont Remises";1,00;0,74 €
277;2;1;"Total Modification Note";8,00;59,20 €
278;0;0;"";0,00;0,00 €
279;1;1;"CPE FRUITS RGE LIEGEOIS";0,00;0,00 €
280;2;1;"Total Net";3,00;22,20 €
281;2;1;" dont Ventes";3,00;22,20 €
282;2;1;"Total Modification Note";1,00;7,40 €
283;0;0;"";0,00;0,00 €
284;1;1;"CPE PECHE MELBA";0,00;0,00 €
285;2;1;"Total Net";40,00;265,30 €
286;2;1;"Total Brut";41,00;273,00 €
287;2;1;" dont Ventes";37,00;265,30 €
288;2;1;" dont Menus";2,00;0,00 €
289;2;1;" dont Remises";1,00;0,70 €
290;2;1;" dont Offert Client";1,00;7,00 €
291;2;1;"Total Erreur de saisie";1,00;7,00 €
292;2;1;"Total Modification Note";5,00;28,00 €
293;0;0;"";0,00;0,00 €
294;1;1;"CPE POM CORN";0,00;0,00 €
295;2;1;"Total Net";38,00;273,80 €
296;2;1;" dont Ventes";37,00;273,80 €
297;2;1;" dont Menus";1,00;0,00 €
298;2;1;"Total Annulations";2,00;14,80 €
299;2;1;"Total Avoir Ticket";1,00;7,40 €
300;2;1;"Total Modification Note";5,00;29,60 €
301;0;0;"";0,00;0,00 €
302;1;1;"CPE TUTTI FRUTTI";0,00;0,00 €
303;2;1;"Total Net";51,00;347,90 €
304;2;1;"Total Brut";51,00;350,00 €
305;2;1;" dont Ventes";47,00;347,90 €
306;2;1;" dont Menus";1,00;0,00 €
307;2;1;" dont Remises";3,00;2,10 €
308;2;1;"Total Modification Note";5,00;35,00 €
309;0;0;"";0,00;0,00 €
310;1;1;"CREME BRULEE";0,00;0,00 €
311;2;1;"Total Net";104,00;664,30 €
312;2;1;"Total Brut";105,00;676,00 €
313;2;1;" dont Ventes";98,00;664,30 €
314;2;1;" dont Menus";1,00;0,00 €
315;2;1;" dont Remises";5,00;5,20 €
316;2;1;" dont Offert Client";1,00;6,50 €
317;2;1;"Total Avoir Ticket";2,00;13,00 €
318;2;1;"Total Modification Note";21,00;130,00 €
319;0;0;"";0,00;0,00 €
320;1;1;"CROUSTIFRAISE";0,00;0,00 €
321;2;1;"Total Net";13,00;96,20 €
322;2;1;" dont Ventes";13,00;96,20 €
323;2;1;"Total Annulations";2,00;14,80 €
324;2;1;"Total Erreur de saisie";2,00;14,80 €
325;2;1;"Total Modification Note";1,00;7,40 €
326;0;0;"";0,00;0,00 €
327;1;1;"DAME BLANCHE";0,00;0,00 €
328;2;1;"Total Net";15,00;103,60 €
329;2;1;" dont Ventes";14,00;103,60 €
330;2;1;" dont Menus";1,00;0,00 €
331;2;1;"Total Avoir Ticket";1,00;7,40 €
332;2;1;"Total Modification Note";2,00;14,80 €
333;0;0;"";0,00;0,00 €
334;1;1;"GAUFRE BRUXELLES";0,00;0,00 €
335;2;1;"Total Net";70,00;414,73 €
336;2;1;"Total Brut";72,00;428,40 €
337;2;1;" dont Ventes";67,00;414,73 €
338;2;1;" dont Remises";3,00;1,77 €
339;2;1;" dont Offert Client";1,00;5,95 €
340;2;1;" dont Offert Direction";1,00;5,95 €
341;2;1;"Total Annulations";1,00;5,95 €
342;2;1;"Total Avoir Ticket";2,00;11,90 €
343;2;1;"Total Modification Note";13,00;77,35 €
344;0;0;"";0,00;0,00 €
345;1;1;"MILLEFEUILLE NUTELLA";0,00;0,00 €
346;2;1;"Total Net";64,00;0,00 €
347;2;1;" dont Menus";64,00;0,00 €
348;2;1;"Total Avoir Ticket";2,00;0,00 €
349;2;1;"Total Modification Note";13,00;0,00 €
350;0;0;"";0,00;0,00 €
351;1;1;"MILSHAKEFRAISE";0,00;0,00 €
352;2;1;"Total Net";5,00;37,00 €
353;2;1;" dont Ventes";5,00;37,00 €
354;2;1;"Total Annulations";1,00;7,40 €
355;2;1;"Total Erreur de saisie";2,00;14,80 €
356;0;0;"";0,00;0,00 €
357;1;1;"PL ST-MARCELLIN OSSAU IRATY";0,00;0,00 €
358;2;1;"Total Net";14,00;93,12 €
359;2;1;"Total Brut";14,00;97,30 €
360;2;1;" dont Ventes";12,00;93,12 €
361;2;1;" dont Remises";2,00;4,18 €
362;2;1;"Total Annulations";1,00;6,95 €
363;2;1;"Total Modification Note";7,00;48,65 €
364;0;0;"";0,00;0,00 €
365;1;1;"PROFITEROLES";0,00;0,00 €
366;2;1;"Total Net";73,00;577,12 €
367;2;1;"Total Brut";75,00;599,95 €
368;2;1;" dont Ventes";64,00;577,12 €
369;2;1;" dont Menus";4,00;0,00 €
370;2;1;" dont Remises";5,00;5,93 €
371;2;1;" dont Offert Client";2,00;16,90 €
372;2;1;"Total Annulations";4,00;33,80 €
373;2;1;"Total Avoir Ticket";1,00;8,45 €
374;2;1;"Total Modification Note";14,00;109,85 €
375;0;0;"";0,00;0,00 €
376;1;1;"TARTELETTE NOISETTES NUTELLA";0,00;0,00 €
377;2;1;"Total Net";51,00;351,21 €
378;2;1;"Total Brut";53,00;365,70 €
379;2;1;" dont Ventes";50,00;351,21 €
380;2;1;" dont Remises";1,00;0,69 €
381;2;1;" dont Offert Client";2,00;13,80 €
382;2;1;"Total Avoir Ticket";2,00;13,80 €
383;2;1;"Total Modification Note";4,00;27,60 €
384;0;0;"";0,00;0,00 €
385;1;1;"TARTIFRAISE";0,00;0,00 €
386;2;1;"Total Net";7,00;51,06 €
387;2;1;"Total Brut";7,00;51,80 €
388;2;1;" dont Ventes";6,00;51,06 €
389;2;1;" dont Remises";1,00;0,74 €
390;2;1;"Total Perte";1,00;7,40 €
391;2;1;"Total Erreur de saisie";2,00;14,80 €
392;2;1;"Total Modification Note";1,00;7,40 €
393;0;0;"";0,00;0,00 €
394;1;1;"TIRAMISU LA BOUCHERIE";0,00;0,00 €
395;2;1;"Total Net";158,00;1112,04 €
396;2;1;"Total Brut";159,00;1130,40 €
397;2;1;" dont Ventes";148,00;1112,04 €
398;2;1;" dont Menus";2,00;0,00 €
399;2;1;" dont Remises";8,00;11,16 €
400;2;1;" dont Offert Client";1,00;7,20 €
401;2;1;"Total Avoir Ticket";4,00;22,68 €
402;2;1;"Total Modification Note";32,00;216,00 €
403;0;0;"";0,00;0,00 €
404;4;0;"Net DESSERTS PROMO";1087,00;5913,66 €
405;4;0;"Brut DESSERTS PROMO";1098,00;6033,65 €
406;4;0;" dont Ventes";834,00;5913,66 €
407;4;0;" dont Menus";213,00;0,00 €
408;4;0;" dont Remises";40,00;42,39 €
409;4;0;" dont Offert Client";9,00;64,50 €
410;4;0;" dont Offert Direction";2,00;13,10 €
411;4;0;"Annulations";15,00;93,00 €
412;4;0;"Perte";1,00;7,40 €
413;4;0;"Erreur de saisie";10,00;67,10 €
414;4;0;"Avoir Ticket";22,00;92,03 €
415;4;0;"Modification Note";189,00;984,95 €
416;0;0;"";0,00;0,00 €
417;1;0;"DESSERTS VAE";0,00;0,00 €
418;1;1;"TIRAMISU VAE";0,00;0,00 €
419;2;1;"Total Net";1,00;5,50 €
420;2;1;" dont Ventes";1,00;5,50 €
421;2;1;"Total Modification Note";1,00;5,50 €
422;0;0;"";0,00;0,00 €
423;4;0;"Net DESSERTS VAE";1,00;5,50 €
424;4;0;" dont Ventes";1,00;5,50 €
425;4;0;"Modification Note";1,00;5,50 €
426;0;0;"";0,00;0,00 €
427;1;0;"ENTREES";0,00;0,00 €
428;1;1;"DUO DE PLANCHETTES";0,00;0,00 €
429;2;1;"Total Net";31,00;538,79 €
430;2;1;"Total Brut";33,00;590,70 €
431;2;1;" dont Ventes";27,00;538,79 €
432;2;1;" dont Remises";4,00;16,11 €
433;2;1;" dont Offert Client";2,00;35,80 €
434;2;1;"Total Modification Note";8,00;143,20 €
435;0;0;"";0,00;0,00 €
436;1;1;"ENTREE DU JOUR";0,00;0,00 €
437;2;1;"Total Net";8,00;7,50 €
438;2;1;" dont Ventes";3,00;7,50 €
439;2;1;" dont Menus";5,00;0,00 €
440;0;0;"";0,00;0,00 €
441;1;1;"ENTREE DU JOUR 2.50€";0,00;0,00 €
442;2;1;"Total Net";2,00;5,00 €
443;2;1;" dont Menus";2,00;5,00 €
444;0;0;"";0,00;0,00 €
445;1;1;"PLANCH. CROQ APERO";0,00;0,00 €
446;2;1;"Total Net";28,00;268,80 €
447;2;1;" dont Ventes";28,00;268,80 €
448;2;1;"Total Modification Note";4,00;38,40 €
449;0;0;"";0,00;0,00 €
